,level_0,level_1
0,diabetesmed,insulin
1,time_in_hospital,num_medications
2,diabetesmed,change
3,insulin,change
4,num_procedures,num_medications
5,a1cresult,num_lab_procedures
6,age,number_diagnoses
7,time_in_hospital,num_lab_procedures
8,number_diagnoses,num_medications
9,metformin,change
10,number_diagnoses,time_in_hospital
11,num_medications,num_lab_procedures
12,number_emergency,number_inpatient
13,readmitted,number_inpatient
14,glipizide,diabetesmed
15,metformin,diabetesmed
16,pioglitazone,change
17,glyburide,diabetesmed
18,diag_1,diag_2
19,glipizide,change
20,rosiglitazone,change
21,num_medications,change
22,number_diagnoses,num_lab_procedures
23,num_medications,insulin
24,glyburide,change
25,pioglitazone,diabetesmed
26,time_in_hospital,num_procedures
27,diabetesmed,num_medications
28,rosiglitazone,diabetesmed
29,number_diagnoses,readmitted
30,glimepiride,change
31,glyburide,metformin
32,number_outpatient,number_diagnoses
33,glimepiride,diabetesmed
34,diag_2,diag_3
35,readmitted,number_emergency
36,diag_3,number_diagnoses
37,diag_2,number_diagnoses
38,number_outpatient,number_emergency
39,number_outpatient,number_inpatient
40,a1cresult,insulin
41,age,time_in_hospital
42,number_diagnoses,number_inpatient
43,rosiglitazone,metformin
44,a1cresult,change
45,number_outpatient,readmitted
46,age,glyburide
47,number_diagnoses,insulin
48,diag_1,diag_3
49,time_in_hospital,insulin
50,a1cresult,diabetesmed
51,time_in_hospital,change
52,glipizide,metformin
53,repaglinide,change
54,insulin,num_lab_procedures
55,age,repaglinide
56,repaglinide,diabetesmed
57,pioglitazone,num_medications
58,a1cresult,time_in_hospital
59,diag_1,time_in_hospital
60,gender,num_procedures
61,number_outpatient,max_glu_serum
62,number_diagnoses,number_emergency
63,glipizide,num_medications
64,glimepiride,pioglitazone
65,number_diagnoses,num_procedures
66,glipizide,rosiglitazone
67,age,glipizide
68,readmitted,diabetesmed
69,number_diagnoses,repaglinide
70,rosiglitazone,num_medications
71,glipizide,pioglitazone
72,pioglitazone,metformin
73,readmitted,time_in_hospital
74,race,a1cresult
75,glimepiride,rosiglitazone
76,glimepiride,metformin
77,time_in_hospital,number_inpatient
78,num_procedures,num_lab_procedures
79,age,glimepiride
80,gender,glyburide
81,number_inpatient,insulin
82,diag_1,metformin
83,glyburide_metformin,glipizide_metformin
84,nateglinide,change
85,diag_2,time_in_hospital
86,metformin,num_medications
87,num_medications,number_inpatient
88,a1cresult,metformin
89,time_in_hospital,diabetesmed
90,acarbose,change
91,number_outpatient,num_medications
92,diag_3,time_in_hospital
93,number_diagnoses,change
94,glimepiride,num_medications
95,nateglinide,diabetesmed
96,number_emergency,insulin
97,gender,glipizide
98,a1cresult,repaglinide
99,diag_3,insulin
100,glyburide_metformin,diabetesmed
101,readmitted,num_medications
102,glyburide_metformin,change
103,readmitted,change
104,glipizide,acarbose
105,readmitted,num_lab_procedures
106,glyburide,num_medications
107,diag_2,number_emergency
108,repaglinide,time_in_hospital
109,glyburide,rosiglitazone
110,readmitted,insulin
111,gender,a1cresult
112,number_emergency,change
113,diag_3,number_emergency
114,change,num_lab_procedures
115,number_outpatient,diag_2
116,pioglitazone,glyburide_metformin
117,max_glu_serum,number_emergency
118,a1cresult,num_medications
119,number_inpatient,num_lab_procedures
120,a1cresult,glimepiride
121,glipizide,readmitted
122,max_glu_serum,readmitted
123,repaglinide,pioglitazone
124,diag_3,num_lab_procedures
125,a1cresult,glipizide
126,race,insulin
127,max_glu_serum,time_in_hospital
128,acarbose,diabetesmed
129,diag_1,pioglitazone
130,diag_3,a1cresult
131,glyburide,time_in_hospital
132,age,readmitted
133,age,max_glu_serum
134,race,number_emergency
135,rosiglitazone,troglitazone
136,repaglinide,readmitted
137,number_outpatient,insulin
138,max_glu_serum,chlorpropamide
139,repaglinide,miglitol
140,diabetesmed,num_lab_procedures
141,number_outpatient,diag_3
142,max_glu_serum,number_inpatient
143,glimepiride,acarbose
144,nateglinide,rosiglitazone
145,glyburide,pioglitazone
146,age,tolbutamide
147,nateglinide,pioglitazone
148,glimepiride,miglitol
149,diag_3,number_inpatient
150,age,number_outpatient
151,acetohexamide,time_in_hospital
152,number_outpatient,change
153,gender,change
154,diag_3,max_glu_serum
155,a1cresult,glyburide
156,number_outpatient,diag_1
157,repaglinide,num_medications
158,number_diagnoses,diabetesmed
159,number_emergency,diabetesmed
160,acarbose,num_medications
161,rosiglitazone,readmitted
162,pioglitazone,readmitted
163,miglitol,change
164,rosiglitazone,miglitol
165,glyburide,acarbose
166,number_outpatient,repaglinide
167,age,nateglinide
168,glipizide,time_in_hospital
169,rosiglitazone,glyburide_metformin
170,repaglinide,acarbose
171,diabetesmed,number_inpatient
172,age,num_medications
173,age,num_lab_procedures
174,number_inpatient,change
175,number_outpatient,acarbose
176,nateglinide,miglitol
177,number_diagnoses,nateglinide
178,age,chlorpropamide
179,number_emergency,num_medications
180,number_outpatient,diabetesmed
181,rosiglitazone,insulin
182,age,pioglitazone
183,diag_2,insulin
184,diag_2,num_lab_procedures
185,a1cresult,tolazamide
186,num_procedures,insulin
187,acarbose,glyburide_metformin
188,acetohexamide,num_medications
189,diag_2,number_inpatient
190,glipizide,num_lab_procedures
191,gender,diabetesmed
192,a1cresult,nateglinide
193,nateglinide,num_medications
194,a1cresult,rosiglitazone
195,repaglinide,number_inpatient
196,chlorpropamide,diabetesmed
197,nateglinide,glimepiride
198,glimepiride,time_in_hospital
199,acarbose,readmitted
200,nateglinide,metformin
201,diag_3,change
202,gender,acarbose
203,number_outpatient,pioglitazone
204,glimepiride,insulin
205,age,acarbose
206,max_glu_serum,repaglinide
207,number_diagnoses,metformin_pioglitazone
208,diag_2,glipizide
209,number_diagnoses,tolazamide
210,glyburide_metformin,number_inpatient
211,gender,number_emergency
212,race,diag_1
213,gender,diag_3
214,race,num_procedures
215,race,acarbose
216,max_glu_serum,rosiglitazone
217,glimepiride,number_inpatient
218,diag_3,pioglitazone
219,number_diagnoses,glipizide
220,diag_2,glimepiride
221,chlorpropamide,insulin
222,diag_2,chlorpropamide
223,metformin,insulin
224,diag_1,max_glu_serum
225,glimepiride,glyburide_metformin
226,gender,number_outpatient
227,diag_2,repaglinide
228,diag_1,glyburide
229,number_outpatient,glimepiride
230,diag_1,change
231,gender,readmitted
232,diag_1,glimepiride
233,race,readmitted
234,max_glu_serum,glyburide_metformin
235,glyburide,glyburide_metformin
236,diag_3,chlorpropamide
237,pioglitazone,num_lab_procedures
238,age,diabetesmed
239,nateglinide,glipizide
240,diag_3,glimepiride
241,repaglinide,glipizide
242,max_glu_serum,nateglinide
243,max_glu_serum,metformin
244,glipizide,number_inpatient
245,number_diagnoses,chlorpropamide
246,diag_1,diabetesmed
247,race,glyburide
248,race,pioglitazone
249,gender,num_medications
250,number_outpatient,a1cresult
251,max_glu_serum,pioglitazone
252,nateglinide,glyburide
253,number_outpatient,num_procedures
254,glyburide,number_emergency
255,glyburide_metformin,metformin
256,race,glimepiride
257,diag_3,glipizide
258,readmitted,metformin
259,glipizide,insulin
260,metformin,num_procedures
261,diag_3,num_medications
262,pioglitazone,number_inpatient
263,age,diag_1
264,glipizide,glyburide_metformin
265,number_emergency,num_procedures
266,diag_2,glyburide
267,gender,time_in_hospital
268,repaglinide,glyburide
269,max_glu_serum,glimepiride
270,age,change
271,gender,diag_2
272,number_diagnoses,glyburide
273,metformin,num_lab_procedures
