,level_0,level_1
0,insulin,diabetesmed
1,change,diabetesmed
2,time_in_hospital,num_medications
3,insulin,change
4,num_procedures,num_medications
5,metformin,change
6,time_in_hospital,num_lab_procedures
7,number_emergency,number_inpatient
8,metformin,diabetesmed
9,num_lab_procedures,num_medications
10,num_lab_procedures,a1cresult
11,num_medications,change
12,num_medications,number_diagnoses
13,number_inpatient,readmitted
14,time_in_hospital,number_diagnoses
15,glipizide,diabetesmed
16,age,number_diagnoses
17,pioglitazone,change
18,num_medications,insulin
19,rosiglitazone,change
20,glipizide,change
21,time_in_hospital,num_procedures
22,num_medications,diabetesmed
23,glyburide,diabetesmed
24,glyburide,change
25,pioglitazone,diabetesmed
26,num_lab_procedures,number_diagnoses
27,rosiglitazone,diabetesmed
28,glimepiride,change
29,metformin,glyburide
30,diag_1,diag_2
31,glimepiride,diabetesmed
32,time_in_hospital,change
33,number_diagnoses,readmitted
34,number_outpatient,number_inpatient
35,number_emergency,readmitted
36,a1cresult,change
37,number_inpatient,number_diagnoses
38,time_in_hospital,insulin
39,a1cresult,insulin
40,age,time_in_hospital
41,metformin,rosiglitazone
42,number_outpatient,number_emergency
43,number_outpatient,number_diagnoses
44,diag_2,diag_3
45,diag_3,number_diagnoses
46,num_lab_procedures,insulin
47,number_diagnoses,insulin
48,a1cresult,diabetesmed
49,number_outpatient,readmitted
50,diag_2,number_diagnoses
51,repaglinide,change
52,metformin,glipizide
53,time_in_hospital,number_inpatient
54,age,glyburide
55,repaglinide,diabetesmed
56,time_in_hospital,a1cresult
57,diag_1,diag_3
58,num_medications,metformin
59,gender,num_procedures
60,num_medications,number_inpatient
61,diabetesmed,readmitted
62,num_medications,pioglitazone
63,num_lab_procedures,num_procedures
64,time_in_hospital,diag_1
65,num_procedures,number_diagnoses
66,num_lab_procedures,change
67,number_inpatient,insulin
68,time_in_hospital,diabetesmed
69,number_emergency,number_diagnoses
70,num_medications,glipizide
71,number_diagnoses,change
72,metformin,pioglitazone
73,num_medications,rosiglitazone
74,nateglinide,change
75,number_outpatient,max_glu_serum
76,a1cresult,metformin
77,time_in_hospital,diag_2
78,age,glipizide
79,diag_1,metformin
80,time_in_hospital,readmitted
81,glimepiride,pioglitazone
82,acarbose,change
83,time_in_hospital,diag_3
84,glyburide_metformin,diabetesmed
85,age,repaglinide
86,number_emergency,insulin
87,nateglinide,diabetesmed
88,glipizide,pioglitazone
89,num_medications,number_outpatient
90,metformin,glimepiride
91,glipizide,rosiglitazone
92,glyburide_metformin,change
93,num_medications,glimepiride
94,change,readmitted
95,num_lab_procedures,readmitted
96,glyburide,rosiglitazone
97,race,insulin
98,num_lab_procedures,diabetesmed
99,num_medications,readmitted
100,num_lab_procedures,number_inpatient
101,number_diagnoses,repaglinide
102,number_emergency,diag_3
103,age,glimepiride
104,glimepiride,rosiglitazone
105,number_emergency,change
106,race,a1cresult
107,num_medications,glyburide
108,number_inpatient,max_glu_serum
109,diag_3,insulin
110,insulin,readmitted
111,number_emergency,diag_2
112,a1cresult,repaglinide
113,gender,glyburide
114,time_in_hospital,repaglinide
115,glipizide,acarbose
116,number_emergency,max_glu_serum
117,num_medications,a1cresult
118,acarbose,diabetesmed
119,a1cresult,glimepiride
120,glyburide_metformin,glipizide_metformin
121,number_diagnoses,diabetesmed
122,num_lab_procedures,diag_3
123,nateglinide,pioglitazone
124,gender,glipizide
125,age,readmitted
126,number_inpatient,change
127,number_emergency,diabetesmed
128,number_outpatient,change
129,number_inpatient,diabetesmed
