,level_0,level_1
0,insulin,diabetesmed
1,time_in_hospital,num_medications
2,change,diabetesmed
3,insulin,change
4,num_procedures,num_medications
5,time_in_hospital,num_lab_procedures
6,metformin,change
7,num_lab_procedures,num_medications
8,number_emergency,number_inpatient
9,num_lab_procedures,a1cresult
10,metformin,diabetesmed
11,num_medications,number_diagnoses
12,num_medications,change
13,num_medications,insulin
14,time_in_hospital,number_diagnoses
15,age,number_diagnoses
16,time_in_hospital,num_procedures
17,glipizide,diabetesmed
18,number_inpatient,readmitted
19,num_medications,diabetesmed
20,pioglitazone,change
21,glipizide,change
22,glyburide,diabetesmed
23,rosiglitazone,change
24,glyburide,change
25,num_lab_procedures,number_diagnoses
26,pioglitazone,diabetesmed
27,rosiglitazone,diabetesmed
28,metformin,glyburide
29,diag_1,diag_2
30,glimepiride,diabetesmed
31,glimepiride,change
32,number_outpatient,number_inpatient
33,time_in_hospital,insulin
34,age,time_in_hospital
35,number_outpatient,number_emergency
36,number_outpatient,number_diagnoses
37,metformin,rosiglitazone
38,time_in_hospital,change
39,number_inpatient,number_diagnoses
40,number_diagnoses,readmitted
41,diag_3,number_diagnoses
42,number_diagnoses,insulin
43,number_emergency,readmitted
44,num_lab_procedures,insulin
45,a1cresult,change
46,diag_2,number_diagnoses
47,a1cresult,insulin
48,diag_2,diag_3
49,metformin,glipizide
50,age,glyburide
51,time_in_hospital,a1cresult
52,num_medications,metformin
53,a1cresult,diabetesmed
54,number_outpatient,readmitted
55,time_in_hospital,number_inpatient
56,num_medications,pioglitazone
57,repaglinide,diabetesmed
58,diag_1,diag_3
59,number_inpatient,insulin
60,time_in_hospital,diabetesmed
61,num_medications,number_inpatient
62,time_in_hospital,diag_1
63,diabetesmed,readmitted
64,gender,num_procedures
65,metformin,pioglitazone
66,num_lab_procedures,change
67,repaglinide,change
68,num_medications,glipizide
69,num_procedures,number_diagnoses
70,number_emergency,number_diagnoses
71,num_medications,glimepiride
72,age,repaglinide
73,num_lab_procedures,num_procedures
74,num_medications,rosiglitazone
75,a1cresult,metformin
76,time_in_hospital,diag_3
77,num_medications,number_outpatient
78,number_diagnoses,change
79,number_outpatient,max_glu_serum
80,number_emergency,insulin
81,age,glipizide
82,nateglinide,diabetesmed
83,glipizide,pioglitazone
84,metformin,glimepiride
85,nateglinide,change
86,glyburide_metformin,change
87,glyburide_metformin,diabetesmed
88,diag_1,metformin
89,race,a1cresult
90,time_in_hospital,diag_2
91,glimepiride,rosiglitazone
92,number_diagnoses,repaglinide
93,glipizide,acarbose
94,acarbose,change
95,num_lab_procedures,number_inpatient
96,num_medications,glyburide
97,num_medications,readmitted
98,time_in_hospital,readmitted
99,number_emergency,change
100,num_lab_procedures,diag_3
101,glipizide,rosiglitazone
102,age,glimepiride
103,change,readmitted
104,glimepiride,pioglitazone
105,time_in_hospital,max_glu_serum
106,time_in_hospital,repaglinide
107,number_diagnoses,diabetesmed
108,number_emergency,diag_2
109,number_inpatient,max_glu_serum
110,num_lab_procedures,readmitted
111,race,insulin
112,glyburide,rosiglitazone
113,number_emergency,max_glu_serum
114,num_lab_procedures,diabetesmed
115,nateglinide,pioglitazone
116,glimepiride,miglitol
117,diag_3,insulin
118,acarbose,diabetesmed
119,number_inpatient,diabetesmed
120,insulin,readmitted
121,number_diagnoses,nateglinide
122,number_emergency,diag_3
123,gender,glyburide
124,a1cresult,repaglinide
125,gender,glipizide
126,glyburide_metformin,glipizide_metformin
127,num_medications,nateglinide
128,glyburide,pioglitazone
129,age,num_medications
130,number_outpatient,diag_2
131,pioglitazone,metformin_pioglitazone
132,number_inpatient,change
133,number_emergency,diabetesmed
134,pioglitazone,glyburide_metformin
135,age,number_outpatient
136,num_medications,a1cresult
137,num_medications,acarbose
138,time_in_hospital,glyburide
139,age,readmitted
140,time_in_hospital,acetohexamide
141,repaglinide,readmitted
142,age,max_glu_serum
143,a1cresult,glimepiride
144,number_outpatient,pioglitazone
145,age,nateglinide
146,diag_3,a1cresult
147,gender,a1cresult
148,number_inpatient,diag_2
149,num_lab_procedures,diag_2
150,num_medications,number_emergency
151,repaglinide,acarbose
152,race,number_emergency
153,gender,num_medications
154,max_glu_serum,glyburide_metformin
155,diag_1,diabetesmed
156,chlorpropamide,insulin
157,number_diagnoses,chlorpropamide
158,race,readmitted
159,gender,diag_2
160,age,diabetesmed
161,metformin,glyburide_metformin
162,num_lab_procedures,pioglitazone
163,number_diagnoses,tolazamide
164,age,diag_1
165,metformin,insulin
166,gender,number_emergency
167,gender,time_in_hospital
168,diag_3,glyburide
169,diag_2,glyburide
170,max_glu_serum,repaglinide
171,repaglinide,glyburide
172,diag_2,glipizide
173,race,glyburide
174,number_inpatient,pioglitazone
175,metformin,readmitted
176,race,max_glu_serum
177,number_inpatient,glipizide
178,number_inpatient,rosiglitazone
179,nateglinide,glyburide
180,diag_3,glipizide
181,race,gender
182,glipizide,insulin
183,number_outpatient,a1cresult
184,number_emergency,glyburide
185,glipizide,glyburide_metformin
186,num_procedures,number_outpatient
187,max_glu_serum,glimepiride
188,diag_1,readmitted
189,num_medications,diag_3
190,num_procedures,number_emergency
191,number_diagnoses,glyburide
192,num_procedures,metformin
193,race,number_outpatient
194,age,change
195,number_inpatient,glyburide
196,number_diagnoses,max_glu_serum
197,num_procedures,readmitted
198,age,num_procedures
199,diag_1,insulin
200,num_lab_procedures,metformin
201,gender,diag_1
202,gender,age
203,num_medications,diag_1
204,num_medications,diag_2
205,max_glu_serum,a1cresult
206,number_inpatient,a1cresult
207,race,num_medications
208,age,number_inpatient
209,num_procedures,diag_3
210,num_procedures,number_inpatient
211,number_inpatient,metformin
212,pioglitazone,rosiglitazone
213,glimepiride,glyburide
214,age,metformin
215,diag_1,a1cresult
216,num_lab_procedures,diag_1
217,glimepiride,glipizide
218,age,insulin
219,glyburide,insulin
220,num_procedures,max_glu_serum
221,age,diag_2
222,number_diagnoses,metformin
223,age,diag_3
224,race,number_diagnoses
225,num_procedures,diag_2
226,age,number_emergency
227,num_procedures,diag_1
228,glipizide,glyburide
229,age,a1cresult
230,num_lab_procedures,max_glu_serum
231,race,age
