,level_0,level_1
0,insulin,diabetesmed
1,change,diabetesmed
2,time_in_hospital,num_medications
3,insulin,change
4,num_procedures,num_medications
5,metformin,change
6,num_lab_procedures,time_in_hospital
7,num_lab_procedures,num_medications
8,metformin,diabetesmed
9,number_emergency,number_inpatient
10,num_lab_procedures,a1cresult
11,change,num_medications
12,number_diagnoses,num_medications
13,number_inpatient,readmitted
14,number_diagnoses,time_in_hospital
15,glipizide,diabetesmed
16,age,number_diagnoses
17,pioglitazone,change
18,glipizide,change
19,rosiglitazone,change
20,diabetesmed,num_medications
21,time_in_hospital,num_procedures
22,glyburide,diabetesmed
23,insulin,num_medications
24,glyburide,change
25,pioglitazone,diabetesmed
26,num_lab_procedures,number_diagnoses
27,rosiglitazone,diabetesmed
28,glimepiride,change
29,metformin,glyburide
30,diag_1,diag_2
31,glimepiride,diabetesmed
32,change,time_in_hospital
33,number_outpatient,number_inpatient
34,number_diagnoses,readmitted
35,a1cresult,change
36,age,time_in_hospital
37,number_emergency,readmitted
38,number_inpatient,number_diagnoses
39,a1cresult,insulin
40,insulin,time_in_hospital
41,metformin,rosiglitazone
42,number_outpatient,number_diagnoses
43,number_outpatient,number_emergency
44,diag_2,diag_3
45,num_lab_procedures,insulin
46,diag_3,number_diagnoses
47,pioglitazone,num_medications
48,diag_2,number_diagnoses
49,number_outpatient,readmitted
50,number_diagnoses,insulin
51,metformin,num_medications
52,metformin,glipizide
53,a1cresult,diabetesmed
54,age,glyburide
55,diag_1,diag_3
56,repaglinide,diabetesmed
57,repaglinide,change
58,glipizide,num_medications
59,a1cresult,time_in_hospital
60,num_lab_procedures,num_procedures
61,number_inpatient,time_in_hospital
62,number_diagnoses,change
63,number_inpatient,num_medications
64,readmitted,diabetesmed
65,nateglinide,change
66,number_inpatient,insulin
67,metformin,pioglitazone
68,gender,num_procedures
69,num_lab_procedures,change
70,diag_1,time_in_hospital
71,number_emergency,number_diagnoses
72,number_diagnoses,num_procedures
73,rosiglitazone,num_medications
74,diag_1,metformin
75,a1cresult,metformin
76,age,repaglinide
77,age,glipizide
78,glipizide,pioglitazone
79,number_outpatient,max_glu_serum
80,nateglinide,diabetesmed
81,readmitted,time_in_hospital
82,glyburide,num_medications
83,number_emergency,insulin
84,glyburide_metformin,diabetesmed
85,glimepiride,pioglitazone
86,diag_2,time_in_hospital
87,glipizide,rosiglitazone
88,number_outpatient,num_medications
89,time_in_hospital,diabetesmed
90,readmitted,change
91,number_inpatient,diabetesmed
92,metformin,glimepiride
93,acarbose,change
94,readmitted,num_medications
95,number_emergency,diabetesmed
96,glimepiride,rosiglitazone
97,num_lab_procedures,number_inpatient
98,race,insulin
99,diag_3,time_in_hospital
100,number_diagnoses,repaglinide
101,num_lab_procedures,readmitted
102,race,a1cresult
103,glyburide,rosiglitazone
104,age,glimepiride
105,glimepiride,num_medications
106,number_emergency,max_glu_serum
107,num_lab_procedures,diag_3
108,readmitted,insulin
109,number_emergency,change
110,diag_3,insulin
111,number_emergency,diag_3
112,number_inpatient,max_glu_serum
113,nateglinide,num_medications
114,gender,glyburide
115,acarbose,num_medications
116,number_emergency,diag_2
117,glyburide_metformin,change
118,glyburide_metformin,glipizide_metformin
119,glipizide,acarbose
120,acarbose,diabetesmed
121,gender,glipizide
122,a1cresult,repaglinide
123,pioglitazone,glyburide_metformin
124,max_glu_serum,time_in_hospital
125,repaglinide,time_in_hospital
126,gender,change
127,nateglinide,pioglitazone
128,number_inpatient,change
129,diag_3,a1cresult
