,atr
0,metformin_pioglitazone
1,glipizide_metformin
2,tolbutamide
3,tolazamide
4,miglitol
5,chlorpropamide
6,acarbose
7,number_emergency
8,glyburide_metformin
9,nateglinide
10,repaglinide
11,number_outpatient
12,max_glu_serum
13,glimepiride
14,rosiglitazone
15,pioglitazone
16,number_inpatient
17,race
18,glyburide
19,glipizide
20,a1cresult
21,metformin
22,num_procedures
23,num_medications
24,time_in_hospital
25,diag_1
26,diag_2
27,diag_3
28,gender
29,change
30,readmitted
31,insulin
32,citoglipton
33,examide
34,glimepiride_pioglitazone
35,metformin_rosiglitazone
36,troglitazone
37,acetohexamide
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
