,atr
0,acetohexamide
1,troglitazone
2,glimepiride_pioglitazone
3,tolbutamide
4,glipizide_metformin
5,miglitol
6,tolazamide
7,chlorpropamide
8,acarbose
9,number_emergency
10,nateglinide
11,glyburide_metformin
12,repaglinide
13,number_outpatient
14,max_glu_serum
15,glimepiride
16,rosiglitazone
17,number_inpatient
18,pioglitazone
19,race
20,glyburide
21,glipizide
22,a1cresult
23,metformin
24,num_medications
25,num_procedures
26,time_in_hospital
27,diag_1
28,diag_2
29,diag_3
30,insulin
31,change
32,gender
33,readmitted
34,metformin_rosiglitazone
35,metformin_pioglitazone
36,citoglipton
37,examide
38,num_lab_procedures
39,age
40,number_diagnoses
41,diabetesmed
